player_name,season,games,minutes,per,ts_pct,usg_pct,bpm,vorp
Brandan Wright,2015,27.0,505.0,25.7,0.762,14.9,5.6,1.0
Brandan Wright,2015,8.0,86.0,15.0,0.571,14.1,1.0,0.1
Brandan Wright,2015,40.0,858.0,17.8,0.6,12.8,2.9,1.0
Gerald Green,2015,74.0,1446.0,15.4,0.532,28.4,-0.3,0.6
Cory Joseph,2015,79.0,1444.0,15.5,0.564,17.0,1.4,1.2
Ray McCallum,2015,68.0,1436.0,12.5,0.496,18.2,-2.0,0.0
Otto Porter Jr.,2015,74.0,1432.0,11.6,0.523,15.1,-0.5,0.6
Anthony Tolliver,2015,76.0,1432.0,11.1,0.569,14.7,-1.4,0.2
Anthony Tolliver,2015,24.0,272.0,7.8,0.522,14.2,-2.5,0.0
Anthony Tolliver,2015,52.0,1160.0,11.8,0.58,14.8,-1.1,0.3
Carmelo Anthony,2015,40.0,1428.0,21.5,0.531,32.2,3.0,1.8
Danilo Gallinari,2015,59.0,1426.0,16.8,0.563,21.5,2.4,1.6
Kelly Olynyk,2015,64.0,1423.0,15.9,0.558,21.1,0.4,0.8
C.J. Watson,2015,57.0,1422.0,15.4,0.581,18.8,1.3,1.2
Omri Casspi,2015,67.0,1416.0,14.4,0.58,18.7,-0.8,0.4
Tony Snell,2015,72.0,1412.0,10.2,0.55,14.1,-1.4,0.2
J.J. Hickson,2015,73.0,1411.0,14.3,0.504,19.7,-2.7,-0.2
Jameer Nelson,2015,63.0,1407.0,12.1,0.503,19.5,-1.0,0.4
Jameer Nelson,2015,23.0,584.0,9.9,0.501,15.7,-1.4,0.1
Jameer Nelson,2015,6.0,121.0,8.7,0.323,19.5,-3.9,-0.1
Jameer Nelson,2015,34.0,702.0,14.5,0.53,22.7,0.0,0.3
Henry Sims,2015,73.0,1399.0,14.5,0.521,20.6,-2.8,-0.3
Chris Kaman,2015,74.0,1398.0,17.3,0.537,22.5,-0.8,0.4
Tayshaun Prince,2015,58.0,1397.0,12.0,0.504,15.0,-0.6,0.5
Tayshaun Prince,2015,26.0,628.0,10.6,0.484,15.4,-1.6,0.1
Tayshaun Prince,2015,9.0,198.0,16.9,0.616,14.5,4.0,0.3
Tayshaun Prince,2015,23.0,571.0,11.8,0.486,14.7,-1.2,0.1
Marco Belinelli,2015,62.0,1388.0,12.4,0.553,18.8,-1.0,0.4
Matthew Dellavedova,2015,67.0,1380.0,8.5,0.493,12.6,-2.8,-0.3
Jerami Grant,2015,65.0,1377.0,8.7,0.47,16.5,-3.3,-0.5
James Johnson,2015,70.0,1370.0,17.9,0.617,17.4,2.4,1.5
Al-Farouq Aminu,2015,74.0,1366.0,14.4,0.504,15.2,0.7,1.0
J.J. Barea,2015,77.0,1362.0,15.1,0.502,21.2,-0.3,0.6
K.J. McDaniels,2015,62.0,1352.0,10.6,0.494,19.3,-2.8,-0.3
K.J. McDaniels,2015,52.0,1319.0,10.8,0.499,19.2,-2.6,-0.2
K.J. McDaniels,2015,10.0,33.0,4.6,0.346,22.2,-9.2,-0.1
Kosta Koufos,2015,81.0,1348.0,14.2,0.53,15.8,-1.2,0.2
Kris Humphries,2015,64.0,1345.0,15.4,0.512,18.3,-1.0,0.3
Brian Roberts,2015,72.0,1330.0,11.7,0.495,18.6,-1.7,0.1
Kent Bazemore,2015,75.0,1324.0,9.7,0.52,15.5,-2.1,0.0
Ersan İlyasova,2015,58.0,1319.0,16.8,0.554,22.1,1.1,1.0
Jrue Holiday,2015,40.0,1303.0,18.8,0.522,23.1,2.8,1.6
Kevin Martin,2015,39.0,1302.0,16.7,0.549,26.6,-0.7,0.4
Quincy Acy,2015,68.0,1287.0,11.9,0.533,15.5,-3.1,-0.3
Chase Budinger,2015,67.0,1286.0,12.2,0.537,16.3,-1.8,0.0
Andre Roberson,2015,67.0,1286.0,9.1,0.513,9.0,-0.7,0.4
Spencer Hawes,2015,73.0,1274.0,9.8,0.478,17.9,-2.3,-0.1
José Calderón,2015,42.0,1270.0,11.3,0.519,16.1,-3.0,-0.3
George Hill,2015,43.0,1267.0,21.5,0.579,23.8,5.3,2.3
Andre Miller,2015,81.0,1253.0,13.3,0.548,15.3,-2.1,0.0
Andre Miller,2015,51.0,631.0,14.3,0.575,14.8,-0.5,0.2
Andre Miller,2015,30.0,622.0,12.3,0.522,15.8,-3.6,-0.3
Amar'e Stoudemire,2015,59.0,1245.0,20.3,0.595,23.8,0.1,0.7
Amar'e Stoudemire,2015,36.0,865.0,19.5,0.589,22.9,-0.6,0.3
Amar'e Stoudemire,2015,23.0,380.0,22.3,0.605,25.8,1.9,0.4
Richard Jefferson,2015,74.0,1244.0,11.3,0.577,15.3,-0.8,0.4
Bismack Biyombo,2015,64.0,1243.0,15.2,0.578,11.6,-1.1,0.3
Kevin Séraphin,2015,79.0,1235.0,12.5,0.535,21.5,-3.8,-0.6
Ryan Kelly,2015,52.0,1233.0,8.6,0.473,14.0,-3.3,-0.4
Jonas Jerebko,2015,75.0,1230.0,15.0,0.549,16.2,0.9,0.9
Jonas Jerebko,2015,46.0,703.0,14.5,0.564,15.1,1.0,0.5
Jonas Jerebko,2015,29.0,527.0,15.5,0.533,17.6,0.6,0.4
John Henson,2015,67.0,1228.0,18.0,0.578,18.1,0.7,0.8
Dwight Howard,2015,41.0,1223.0,19.2,0.596,23.3,-0.4,0.5
Marreese Speights,2015,76.0,1207.0,19.5,0.546,29.1,-1.9,0.0
