draft_year,pick,player_name,ws,vorp
2022,22,Walker Kessler,17.1,5.1
2022,23,David Roddy,2.0,-1.4
2022,24,MarJon Beauchamp,1.4,-0.7
2022,25,Blake Wesley,-0.2,-2.2
2022,26,Wendell Moore Jr.,1.0,-0.1
2022,27,Nikola JoviÄ,4.7,0.8
2022,28,Patrick Baldwin Jr.,0.7,-0.3
2022,29,TyTy Washington Jr.,-0.2,-0.7
2022,30,Peyton Watson,7.8,0.3
2022,nan,Round 2,Advanced,Advanced
2022,31,Andrew Nembhard,8.9,-0.2
2022,32,Caleb Houstan,4.2,-0.4
2022,33,Christian Koloko,2.9,-0.6
2022,34,Jaylin Williams,11.7,3.6
2022,35,Max Christie,6.7,-0.6
2022,36,Gabriele Procida,nan,nan
2022,37,Jaden Hardy,0.5,-1.8
2022,38,Kennedy Chandler,0.5,-0.4
2022,39,Khalifa Diop,nan,nan
2022,40,Bryce McGowens,2.3,-1.7
2022,41,E.J. Liddell,0.6,-0.2
2022,42,Trevor Keels,-0.1,-0.1
2022,43,Moussa DiabatÃ©,11.4,1.9
2022,44,Ryan Rollins,5.1,1.6
2022,45,Josh Minott,4.0,1.4
2022,46,Ismael Kamagate,nan,nan
2022,47,Vince Williams Jr.,3.2,0.4
2022,48,Kendall Brown,0.1,-0.1
2022,49,Isaiah Mobley,0.3,0.0
2022,50,Matteo Spagnolo,nan,nan
2022,51,Tyrese Martin,1.0,-0.5
2022,52,Karlo MatkoviÄ,4.3,0.6
2022,53,JD Davison,0.6,0.0
2022,54,Yannick Nzosa,nan,nan
2022,55,Gui Santos,5.2,0.7
2022,56,Luke Travers,-0.1,-0.2
2022,57,Jabari Walker,6.8,-1.1
2022,58,Hugo Besson,nan,nan
2023,1,Victor Wembanyama,17.5,13.0
2023,2,Brandon Miller,5.7,1.9
2023,3,Scoot Henderson,1.1,-1.8
2023,4,Amen Thompson,22.6,8.2
2023,5,Ausar Thompson,11.3,3.6
2023,6,Anthony Black,6.7,0.5
2023,7,Bilal Coulibaly,1.7,-1.8
2023,8,Jarace Walker,2.5,0.3
2023,9,Taylor Hendricks,2.4,-0.1
2023,10,Cason Wallace,14.4,4.0
2023,11,Jett Howard,1.4,-0.5
2023,12,Dereck Lively II,8.7,2.0
2023,13,Gradey Dick,3.1,-2.0
2023,14,Jordan Hawkins,0.3,-2.2
2023,15,Kobe Bufkin,-0.2,-0.4
2023,16,Keyonte George,4.0,-0.3
2023,17,Jalen Hood-Schifino,-0.6,-0.8
2023,18,Jaime Jaquez Jr.,10.5,1.6
2023,19,Brandin Podziemski,13.4,3.4
2023,20,Cam Whitmore,3.3,0.8
2023,21,Noah Clowney,2.4,-1.0
2023,22,Dariq Whitehead,-0.1,-0.4
2023,23,Kris Murray,3.6,-0.6
2023,24,Olivier-Maxence Prosper,3.8,0.4
2023,25,Marcus Sasser,3.6,0.1
2023,26,Ben Sheppard,4.3,-0.7
2023,27,Nick Smith Jr.,-1.0,-2.3
2023,28,Brice Sensabaugh,2.0,-0.5
2023,29,Julian Strawther,2.7,-1.5
2023,30,Kobe Brown,2.3,-0.3
2023,nan,Round 2,Advanced,Advanced
2023,31,James Nnaji,nan,nan
2023,32,Jalen Pickett,2.2,0.0
2023,33,Leonard Miller,2.0,0.3
2023,34,Colby Jones,0.6,-0.2
2023,35,Julian Phillips,2.5,-0.7
2023,36,Andre Jackson Jr.,1.8,-1.1
2023,37,Hunter Tyson,0.4,-0.6
2023,38,Jordan Walsh,4.3,0.5
2023,39,Mouhamed Gueye,4.1,0.4
2023,40,Maxwell Lewis,-0.2,-0.5
2023,41,Amari Bailey,-0.1,-0.1
2023,42,Tristan Vukcevic,1.6,0.5
2023,43,Rayan Rupert,0.5,-1.9
2023,44,Sidy Cissoko,1.6,-0.8
2023,45,GG Jackson II,2.6,-0.2
2023,46,Seth Lundy,-0.1,-0.1
2023,47,Mojave King,nan,nan
2023,48,Jordan Miller,4.0,0.7
2023,49,Emoni Bates,-0.2,-0.2
2023,50,Keyontae Johnson,-0.1,-0.1
2023,51,Jalen Wilson,3.2,-1.9
2023,52,Toumani Camara,11.9,1.4
2023,53,Jaylen Clark,3.3,0.1
2023,54,Jalen Slawson,0.5,0.1
2023,55,Isaiah Wong,0.0,-0.1
2023,56,Tarik Biberovic,nan,nan
2023,57,Trayce Jackson-Davis,9.6,2.3
2023,58,Chris Livingston,0.2,-0.3
2024,1,Zaccharie Risacher,4.1,-0.9
2024,2,Alex Sarr,1.3,0.3
2024,3,Reed Sheppard,6.6,2.6
2024,4,Stephon Castle,6.9,1.4
2024,5,Ron Holland,4.6,-0.3
2024,6,Tidjane SalaÃ¼n,1.5,-0.8
2024,7,Donovan Clingan,12.6,3.2
2024,8,Rob Dillingham,-1.0,-1.6
2024,9,Zach Edey,5.6,0.9
2024,10,Cody Williams,-1.0,-2.9
2024,11,Matas Buzelis,4.4,0.4
2024,12,Nikola TopiÄ,0.0,-0.3
2024,13,Devin Carter,0.5,-0.2
2024,14,Bub Carrington,-0.2,-3.2
2024,15,Kel'el Ware,10.3,2.4
2024,16,Jared McCain,2.2,0.2
2024,17,Dalton Knecht,3.1,-0.2
2024,18,Tristan Da Silva,5.8,0.4
2024,19,Ja'Kobe Walter,4.9,0.4
2024,20,Jaylon Tyson,4.8,0.9
2024,21,Yves Missi,6.3,-0.4
2024,22,DaRon Holmes,0.4,0.1
2024,23,AJ Johnson,-1.3,-1.8
2024,24,Kyshawn George,0.8,-0.7
2024,25,PacÃ´me Dadiet,0.2,-0.2
2024,26,Dillon Jones,0.9,-0.3
2024,27,Terrence Shannon Jr.,1.6,-0.2
2024,28,Ryan Dunn,3.6,-0.4
2024,29,Isaiah Collier,0.9,-1.7
2024,30,Baylor Scheierman,4.6,1.0
2024,nan,Round 2,Advanced,Advanced
2024,31,Jonathan Mogbo,2.5,0.1
2024,32,Kyle Filipowski,5.5,0.8
2024,33,Tyler Smith,0.4,-0.1
2024,34,Tyler Kolek,1.8,0.2
2024,35,Johnny Furphy,1.0,-0.3
2024,36,Juan Nunez,nan,nan
2024,37,Bobi Klintman,0.1,-0.1
2024,38,Ajay Mitchell,6.3,1.5
2024,39,Jaylen Wells,5.1,-0.6
2024,40,Oso Ighodaro,6.3,0.8
2024,41,Adem Bona,5.2,-0.4
2024,42,KJ Simpson,-0.6,-0.9
2024,43,Nikola Djurisic,nan,nan
2024,44,Pelle Larsson,5.5,0.2
2024,45,Jamal Shead,3.5,-0.9
2024,46,Cam Christie,0.2,-0.3
2024,47,Antonio Reeves,0.6,-0.1
2024,48,Harrison Ingram,0.2,0.0
2024,49,Tristen Newton,0.0,0.0
2024,50,Enrique Freeman,0.3,-0.2
2024,51,Melvin AjinÃ§a,nan,nan
2024,52,Quinten Post,3.5,0.6
2024,53,Cam Spencer,6.1,2.0
2024,54,Anton Watson,0.0,0.0
2024,55,Bronny James,0.0,-0.5
2024,56,Kevin McCullar Jr.,0.2,-0.1
2024,57,Ulrich Chomche,0.0,0.0
2024,58,Ariel Hukporti,1.3,-0.2
