player_key,player_name,draft_year,pick,ws,vorp
aleksej pokusevski,Aleksej Pokusevski,2020,17,-0.2,-1.0
josh green,Josh Green,2020,18,11.1,-1.2
saddiq bey,Saddiq Bey,2020,19,20.0,4.3
precious achiuwa,Precious Achiuwa,2020,20,14.8,-0.3
tyrese maxey,Tyrese Maxey,2020,21,35.1,13.5
zeke nnaji,Zeke Nnaji,2020,22,7.5,-0.7
leandro bolmaro,Leandro Bolmaro,2020,23,-0.3,-0.5
r j hampton,R.J. Hampton,2020,24,0.8,-1.4
immanuel quickley,Immanuel Quickley,2020,25,27.9,9.2
payton pritchard,Payton Pritchard,2020,26,29.4,8.5
udoka azubuike,Udoka Azubuike,2020,27,2.0,0.1
jaden mcdaniels,Jaden McDaniels,2020,28,23.1,1.5
malachi flynn,Malachi Flynn,2020,29,2.9,-0.5
desmond bane,Desmond Bane,2020,30,33.0,12.7
tyrell terry,Tyrell Terry,2020,31,0.0,0.0
vernon carey,Vernon Carey Jr.,2020,32,0.2,-0.2
daniel oturu,Daniel Oturu,2020,33,0.3,-0.2
theo maledon,Théo Maledon,2020,34,-0.2,-2.4
xavier tillman,Xavier Tillman Sr.,2020,35,10.3,2.0
tyler bey,Tyler Bey,2020,36,0.0,-0.1
vit krejci,Vít Krejčí,2020,37,6.9,0.1
saben lee,Saben Lee,2020,38,3.5,0.3
elijah hughes,Elijah Hughes,2020,39,-0.4,-0.5
robert woodard,Robert Woodard II,2020,40,-0.1,-0.1
tre jones,Tre Jones,2020,41,20.3,4.0
nick richards,Nick Richards,2020,42,13.9,-1.2
jahmi us ramsey,Jahmi'us Ramsey,2020,43,-0.1,-0.3
marko simonovic,Marko Simonovic,2020,44,0.0,-0.1
jordan nwora,Jordan Nwora,2020,45,3.0,-0.7
cj elleby,CJ Elleby,2020,46,0.5,-1.1
yam madar,Yam Madar,2020,47,0.0,0.0
nico mannion,Nico Mannion,2020,48,0.2,-0.2
isaiah joe,Isaiah Joe,2020,49,19.0,4.6
skylar mays,Skylar Mays,2020,50,2.1,0.4
justinian jessup,Justinian Jessup,2020,51,0.0,0.0
kj martin,KJ Martin,2020,52,12.4,0.4
cassius winston,Cassius Winston,2020,53,0.1,-0.1
cassius stanley,Cassius Stanley,2020,54,0.0,-0.4
jay scrubb,Jay Scrubb,2020,55,-0.1,-0.3
grant riller,Grant Riller,2020,56,0.1,0.0
reggie perry,Reggie Perry,2020,57,0.4,-0.3
paul reed,Paul Reed,2020,58,15.9,3.9
jalen harris,Jalen Harris,2020,59,0.3,0.1
sam merrill,Sam Merrill,2020,60,10.5,2.3
cade cunningham,Cade Cunningham,2021,1,14.9,9.8
jalen green,Jalen Green,2021,2,11.0,2.4
evan mobley,Evan Mobley,2021,3,34.8,12.1
scottie barnes,Scottie Barnes,2021,4,27.2,13.1
jalen suggs,Jalen Suggs,2021,5,8.3,3.1
josh giddey,Josh Giddey,2021,6,17.2,8.8
jonathan kuminga,Jonathan Kuminga,2021,7,13.0,1.5
franz wagner,Franz Wagner,2021,8,24.2,7.7
davion mitchell,Davion Mitchell,2021,9,10.3,-1.3
ziaire williams,Ziaire Williams,2021,10,6.2,-1.5
james bouknight,James Bouknight,2021,11,-0.3,-0.9
joshua primo,Joshua Primo,2021,12,-0.2,-0.9
chris duarte,Chris Duarte,2021,13,1.9,-0.8
moses moody,Moses Moody,2021,14,11.6,1.5
corey kispert,Corey Kispert,2021,15,11.1,-0.6
alperen sengun,Alperen Şengün,2021,16,30.5,13.4
trey murphy,Trey Murphy III,2021,17,24.4,8.3
tre mann,Tre Mann,2021,18,1.9,-1.8
kai jones,Kai Jones,2021,19,2.8,0.2
jalen johnson,Jalen Johnson,2021,20,15.9,7.2
keon johnson,Keon Johnson,2021,21,-0.3,-1.7
isaiah jackson,Isaiah Jackson,2021,22,10.3,1.3
usman garuba,Usman Garuba,2021,23,2.3,0.2
josh christopher,Josh Christopher,2021,24,0.2,-1.1
quentin grimes,Quentin Grimes,2021,25,14.4,2.7
bones hyland,Bones Hyland,2021,26,7.4,2.0
cam thomas,Cam Thomas,2021,27,5.0,-0.4
jaden springer,Jaden Springer,2021,28,1.4,-0.2
